,0
t0.4_Jaccard_sem,0.0032487072787869744
t0.4_Jaccard_95pcntCI_2-5pcnt,0.9848067899427249
t0.4_Jaccard_95pcntCI_97-5pcnt,0.9978080864351961
t0.4_pixel_identity_mean,0.9964119349978098
t0.4_pixel_identity_sem,0.0005506441487116809
t0.4_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.4_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.4_localization_error_mean,0.001061067302884412
t0.4_localization_error_sem,0.000573774666581844
t0.4_localization_error_95pcntCI_2-5pcnt,-8.705315241323603e-05
t0.4_localization_error_95pcntCI_97-5pcnt,0.00220918775818206
t0.4_per_image_average_precision_mean,0.9913074381889605
t0.4_per_image_average_precision_sem,0.0032487072787869744
t0.4_per_image_average_precision_95pcntCI_2-5pcnt,0.9848067899427249
t0.4_per_image_average_precision_95pcntCI_97-5pcnt,0.9978080864351961
t0.45_true_positives_mean,42.55
t0.45_true_positives_sem,3.3992708590051124
t0.45_true_positives_95pcntCI_2-5pcnt,35.74807472579607
t0.45_true_positives_95pcntCI_97-5pcnt,49.35192527420392
t0.45_false_positives_mean,0.26666666666666666
t0.45_false_positives_sem,0.1004697066710595
t0.45_false_positives_95pcntCI_2-5pcnt,0.06562724808448689
t0.45_false_positives_95pcntCI_97-5pcnt,0.46770608524884644
t0.45_false_negatives_mean,0.15
t0.45_false_negatives_sem,0.07820370329491788
t0.45_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.45_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.45_IoU_mean,0.9995784354219116
t0.45_IoU_sem,0.00012398029411174772
t0.45_IoU_95pcntCI_2-5pcnt,0.9993303514265489
t0.45_IoU_95pcntCI_97-5pcnt,0.9998265194172743
t0.45_Jaccard_mean,0.9913074381889605
t0.45_Jaccard_sem,0.0032487072787869744
t0.45_Jaccard_95pcntCI_2-5pcnt,0.9848067899427249
t0.45_Jaccard_95pcntCI_97-5pcnt,0.9978080864351961
t0.45_pixel_identity_mean,0.9964119349978098
t0.45_pixel_identity_sem,0.0005506441487116809
t0.45_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.45_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.45_localization_error_mean,0.001061067302884412
t0.45_localization_error_sem,0.000573774666581844
t0.45_localization_error_95pcntCI_2-5pcnt,-8.705315241323603e-05
t0.45_localization_error_95pcntCI_97-5pcnt,0.00220918775818206
t0.45_per_image_average_precision_mean,0.9913074381889605
t0.45_per_image_average_precision_sem,0.0032487072787869744
t0.45_per_image_average_precision_95pcntCI_2-5pcnt,0.9848067899427249
t0.45_per_image_average_precision_95pcntCI_97-5pcnt,0.9978080864351961
t0.5_true_positives_mean,42.55
t0.5_true_positives_sem,3.3992708590051124
t0.5_true_positives_95pcntCI_2-5pcnt,35.74807472579607
t0.5_true_positives_95pcntCI_97-5pcnt,49.35192527420392
t0.5_false_positives_mean,0.26666666666666666
t0.5_false_positives_sem,0.1004697066710595
t0.5_false_positives_95pcntCI_2-5pcnt,0.06562724808448689
t0.5_false_positives_95pcntCI_97-5pcnt,0.46770608524884644
t0.5_false_negatives_mean,0.15
t0.5_false_negatives_sem,0.07820370329491788
t0.5_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.5_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.5_IoU_mean,0.9995784354219116
t0.5_IoU_sem,0.00012398029411174772
t0.5_IoU_95pcntCI_2-5pcnt,0.9993303514265489
t0.5_IoU_95pcntCI_97-5pcnt,0.9998265194172743
t0.5_Jaccard_mean,0.9913074381889605
t0.5_Jaccard_sem,0.0032487072787869744
t0.5_Jaccard_95pcntCI_2-5pcnt,0.9848067899427249
t0.5_Jaccard_95pcntCI_97-5pcnt,0.9978080864351961
t0.5_pixel_identity_mean,0.9964119349978098
t0.5_pixel_identity_sem,0.0005506441487116809
t0.5_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.5_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.5_localization_error_mean,0.001061067302884412
t0.5_localization_error_sem,0.000573774666581844
t0.5_localization_error_95pcntCI_2-5pcnt,-8.705315241323603e-05
t0.5_localization_error_95pcntCI_97-5pcnt,0.00220918775818206
t0.5_per_image_average_precision_mean,0.9913074381889605
t0.5_per_image_average_precision_sem,0.0032487072787869744
t0.5_per_image_average_precision_95pcntCI_2-5pcnt,0.9848067899427249
t0.5_per_image_average_precision_95pcntCI_97-5pcnt,0.9978080864351961
t0.55_true_positives_mean,42.55
t0.55_true_positives_sem,3.3992708590051124
t0.55_true_positives_95pcntCI_2-5pcnt,35.74807472579607
t0.55_true_positives_95pcntCI_97-5pcnt,49.35192527420392
t0.55_false_positives_mean,0.26666666666666666
t0.55_false_positives_sem,0.1004697066710595
t0.55_false_positives_95pcntCI_2-5pcnt,0.06562724808448689
t0.55_false_positives_95pcntCI_97-5pcnt,0.46770608524884644
t0.55_false_negatives_mean,0.15
t0.55_false_negatives_sem,0.07820370329491788
t0.55_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.55_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.55_IoU_mean,0.9995784354219116
t0.55_IoU_sem,0.00012398029411174772
t0.55_IoU_95pcntCI_2-5pcnt,0.9993303514265489
t0.55_IoU_95pcntCI_97-5pcnt,0.9998265194172743
t0.55_Jaccard_mean,0.9913074381889605
t0.55_Jaccard_sem,0.0032487072787869744
t0.55_Jaccard_95pcntCI_2-5pcnt,0.9848067899427249
t0.55_Jaccard_95pcntCI_97-5pcnt,0.9978080864351961
t0.55_pixel_identity_mean,0.9964119349978098
t0.55_pixel_identity_sem,0.0005506441487116809
t0.55_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.55_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.55_localization_error_mean,0.001061067302884412
t0.55_localization_error_sem,0.000573774666581844
t0.55_localization_error_95pcntCI_2-5pcnt,-8.705315241323603e-05
t0.55_localization_error_95pcntCI_97-5pcnt,0.00220918775818206
t0.55_per_image_average_precision_mean,0.9913074381889605
t0.55_per_image_average_precision_sem,0.0032487072787869744
t0.55_per_image_average_precision_95pcntCI_2-5pcnt,0.9848067899427249
t0.55_per_image_average_precision_95pcntCI_97-5pcnt,0.9978080864351961
t0.6_true_positives_mean,42.55
t0.6_true_positives_sem,3.3992708590051124
t0.6_true_positives_95pcntCI_2-5pcnt,35.74807472579607
t0.6_true_positives_95pcntCI_97-5pcnt,49.35192527420392
t0.6_false_positives_mean,0.26666666666666666
t0.6_false_positives_sem,0.1004697066710595
t0.6_false_positives_95pcntCI_2-5pcnt,0.06562724808448689
t0.6_false_positives_95pcntCI_97-5pcnt,0.46770608524884644
t0.6_false_negatives_mean,0.15
t0.6_false_negatives_sem,0.07820370329491788
t0.6_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.6_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.6_IoU_mean,0.9995784354219116
